Numero do Sujeito,1a. Doença,Idade 1a. Doença,Tempo 1a Doença,Sexo,UF Nascimento,UF,Formação,Atividade,Escolaridade,Estado Civil,Religião,Outro Idioma,Análise do Contexto,Autoconfiança,Autocontrole,Conquistar e Manter Pessoas,Empatia,Leitura Corporal,Otimismo com a Vida,Sentido da Vida
13531,depressão,31 - 49 anos,Um ano,Feminino,SP,SP,Administradora,Gerente de Compras,Pós-Graduação,Casado,Católico,Sim,Boa no estresse (PC-P),Fraca no estresse (PC-I),Fraca no estresse (PC-I),Boa diante do impacto do estresse (PC-P),Moderada no estresse (PC-I),Excelente no estresse,Forte no estresse (PC-P),Boa no estresse (PC-P)
13532,enfermidade que me levou a 15 dias de hospital e eventos de perda de respiração,7 - 12 anos,Mais de um ano,Masculino,SP,SP,Arquiteto,,Pós-Graduação,Casado,Evangélico,Sim,Excelente no estresse,Moderada no estresse (PC-I),Fraca no estresse (PC-I),Boa diante do impacto do estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P),Excelente no estresse,Moderada no estresse (PC-P)
13533,Violência dentro de casa,7 - 12 anos,Mais de um ano,Masculino,SP,SP,,Pesquisa e leitura de livros,Superior Completo,Solteiro,Outro,Não,Boa no estresse (PC-P),Forte no estresse (PC-P),Moderada no estresse (PC-P),Boa diante do impacto do estresse (PC-P),Boa no estresse (PC-P),Moderada no estresse (PC-P),Excelente no estresse,Boa no estresse (PC-P)
13534,,,,Masculino,SP,SP,Administração de Empresas,Analista de Mercado,Superior Completo,Solteiro,Evangélico,Sim,Excelente no estresse,Fraca no estresse (PC-I),Fraca no estresse (PC-I),Forte diante do impacto do estresse (PC-P),Excelente no estresse,Boa no estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P)
13535,Conhecer a comunidade quilombola Pedro Cubas,13 - 17 anos,Mais de um ano,Masculino,SP,SP,,,Superior Incompleto,Solteiro,Evangélico,Sim,Excelente no estresse,Excelente face ao estresse,Excelente no estresse,Excelente face ao impacto do estresse (PC-E),Forte no estresse (PC-P),Boa no estresse (PC-P),Excelente no estresse,Excelente no estresse
13536,Câncer na minha mãe.,13 - 17 anos,Mais de um ano,Feminino,SP,SP,Propaganga e Marketing,Account Strategist,Superior Completo,Solteiro,Católico,Sim,Boa no estresse (PC-P),Boa no estresse (PC-P),Boa no estresse (PC-P),Excelente face ao impacto do estresse (PC-E),Boa no estresse (PC-P),Boa no estresse (PC-P),Moderada no estresse (PC-P),Boa no estresse (PC-P)
13537,cancer maligno na tireoide,31 - 49 anos,Semanas,Feminino,SP,SP,,financeiro,5ª a 9ª série,Casado,Evangélico,Não,Excelente no estresse,Excelente face ao estresse,Forte no estresse (PC-I),Boa face ao impacto do estresse (PC-I),Boa no estresse (PC-I),Excelente no estresse,Excelente no estresse,Forte no estresse (PC-P)
13538,Tumor na cabeça,18 - 30 anos,Mais de um ano,Feminino,SP,SP,Relações Publicas,Diretora operacional,Superior Completo,Casado,Outro,Não,Forte no estresse (PC-P),Moderada no estresse (PC-I),Excelente no estresse,Moderada diante do impacto do estresse (PC-I),Excelente no estresse,Boa no estresse (PC-I),Excelente no estresse,Excelente no estresse
13539,Crises familiares e quase separação dos meus pais,18 - 30 anos,Mais de um ano,Feminino,SP,SP,PROFESSORA,PROFESSORA,Superior Completo,Casado,Evangélico,Sim,Boa no estresse (PC-P),Fraca no estresse (PC-I),Excelente no estresse,Forte diante do impacto do estresse (PC-I),Boa no estresse (PC-I),Boa no estresse (PC-I),Moderada no estresse (PC-I),Fraca no estresse (PC-I)
13540,Desemprego do pai,18 - 30 anos,Mais de um ano,Masculino,SP,SP,Comercial,Gerente de Vendas,Pós-Graduação,Casado,Evangélico,Sim,Excelente no estresse,Boa no estresse (PC-P),Forte no estresse (PC-P),Moderada diante do impacto do estresse (PC-P),Moderada no estresse (PC-P),Boa no estresse (PC-I),Moderada no estresse (PC-P),Moderada no estresse (PC-P)
