Numero do Sujeito;1a. Doença;Idade 1a. Doença;Tempo 1a Doença;Sexo;UF Nascimento;UF;Formação;Atividade;Escolaridade;Estado Civil;Religião;Outro Idioma;Análise do Contexto;Autoconfiança;Autocontrole;Conquistar e Manter Pessoas;Empatia;Leitura Corporal;Otimismo com a Vida;Sentido da Vida
13531;Depressão;31 - 49 anos;Um ano;Feminino;SP;SP;Administradora;Gerente de Compras;Pós-Graduação;Casado;Católico;Sim;1,01;15,15;17,17;2,78;13,07;7,04;3,79;2,01
13532;enfermidade que me levou a 15 dias de hospital e eventos de perda de respiração;7 - 12 anos;Mais de um ano;Masculino;SP;SP;Arquiteto;;Pós-Graduação;Casado;Evangélico;Sim;6,03;12,12;18,18;2,78;1,01;2,76;6,06;-2,26
13533;Violência doméstica;7 - 12 anos;Mais de um ano;Masculino;SP;SP;;Pesquisa e leitura de livros;Superior Completo;Solteiro;Outro;Não;0,75;3,79;-3,03;-1,98;-2,01;-3,02;4,8;2,76
13534;Nenhuma resposta;Nenhuma resposta;Nenhuma resposta;Masculino;SP;SP;Administração de Empresas;Analista de Mercado;Superior Completo;Solteiro;Evangélico;Sim;7,04;15,15;17,17;3,79;4,77;0;1,77;3,02
13535;Nenhuma resposta;Nenhuma resposta;Nenhuma resposta;Masculino;SP;SP;;;Superior Incompleto;Solteiro;Evangélico;Sim;5,03;6,82;5,81;6,06;4,02;0;4,8;5,03
13536;Câncer;13 - 17 anos;Mais de um ano;Feminino;SP;SP;Propaganga e Marketing;Account Strategist;Superior Completo;Solteiro;Católico;Sim;0,75;-1,01;-1,01;4,04;1,76;-1,01;-4,29;3,02
13537;Câncer;31 - 49 anos;Semanas;Feminino;SP;SP;;financeiro;5ª a 9ª série;Casado;Evangélico;Não;7,04;6,82;7,83;10,86;10,8;5,78;5,81;4,02
13538;Tumor;18 - 30 anos;Mais de um ano;Feminino;SP;SP;Relações Publicas;Diretora operacional;Superior Completo;Casado;Outro;Não;4,02;12,12;4,04;12,12;6,03;10,8;5,05;6,03
13539;Crises familiares e quase separação dos meus pais;18 - 30 anos;Mais de um ano;Feminino;SP;SP;PROFESSORA;PROFESSORA;Superior Completo;Casado;Evangélico;Sim;3,02;16,16;5,81;8,84;11,06;9,8;14,14;19,1
13540;Desemprego;18 - 30 anos;Mais de um ano;Masculino;SP;SP;Comercial;Gerente de Vendas;Pós-Graduação;Casado;Evangélico;Sim;7,04;0;3,79;-2,27;-5,03;9,8;-4,04;-6,03
